Text	Label
Me encanta este producto	TRUE
Odio este servicio	FALSE
El soporte técnico fue excelente	TRUE
Es una pérdida de tiempo	FALSE
Fantástico, muy útil	TRUE
Terrible, no lo recomiendo	FALSE
Estoy muy feliz hoy	TRUE
Aprobé el examen que tanto estudié	TRUE
Mi perro me recibió con mucha alegría	TRUE
Qué hermoso día para salir a caminar	TRUE
Hoy me siento con mucha energía	TRUE
Mis amigos me sorprendieron con una visita	TRUE
Logré terminar el proyecto a tiempo	TRUE
Me dieron una buena noticia	TRUE
Pude ayudar a alguien y eso me hizo sentir bien	TRUE
Estoy motivado para seguir adelante	TRUE
Tengo esperanza de que todo va a mejorar	TRUE
Estoy agradecido por lo que tengo	TRUE
Pasé un día increíble con mi familia	TRUE
Disfruté mucho la película que vimos	TRUE
Me encanta cómo salió esta comida	TRUE
Estoy emocionado por el viaje que se viene	TRUE
Hoy fue un día muy productivo	TRUE
Estoy orgulloso de mis logros	TRUE
Me siento amado	TRUE
Estoy en paz conmigo mismo	TRUE
El clima está perfecto para descansar	TRUE
La música me levantó el ánimo	TRUE
Recibí un mensaje muy lindo	TRUE
Todo salió mejor de lo esperado	TRUE
Hoy me siento pleno y satisfecho	TRUE
Estoy triste	FALSE
Me fue mal en el colegio	FALSE
Mi novia me dejó	FALSE
Hoy no tengo ganas de hacer nada	FALSE
Todo me sale mal últimamente	FALSE
No tengo ánimos de hablar con nadie	FALSE
No soporto esta situación	FALSE
Me siento muy solo	FALSE
Nada tiene sentido	FALSE
Estoy cansado de todo	FALSE
No puedo dejar de llorar	FALSE
Tengo miedo de lo que va a pasar	FALSE
Perdí a alguien importante	FALSE
Siento que decepcioné a todos	FALSE
No me siento valorado	FALSE
Me cuesta levantarme cada día	FALSE
Estoy lleno de frustración	FALSE
La ansiedad no me deja dormir	FALSE
Estoy muy enojado	FALSE
Nadie me entiende	FALSE
No encuentro motivación	FALSE
Siento una gran angustia	FALSE
Nada me alegra últimamente	FALSE
Todo me molesta	FALSE
No quiero seguir con esto	FALSE
Estoy muy feliz hoy	TRUE
Aprobé el examen que tanto estudié	TRUE
Mi perro me recibió con mucha alegría	TRUE
Qué hermoso día para salir a caminar	TRUE
Hoy me siento con mucha energía	TRUE
Mis amigos me sorprendieron con una visita	TRUE
Logré terminar el proyecto a tiempo	TRUE
Me dieron una buena noticia	TRUE
Pude ayudar a alguien y eso me hizo sentir bien	TRUE
Estoy motivado para seguir adelante	TRUE
Tengo esperanza de que todo va a mejorar	TRUE
Estoy agradecido por lo que tengo	TRUE
Pasé un día increíble con mi familia	TRUE
Disfruté mucho la película que vimos	TRUE
Me encanta cómo salió esta comida	TRUE
Estoy emocionado por el viaje que se viene	TRUE
Hoy fue un día muy productivo	TRUE
Estoy orgulloso de mis logros	TRUE
Me siento amado	TRUE
Estoy en paz conmigo mismo	TRUE
El clima está perfecto para descansar	TRUE
La música me levantó el ánimo	TRUE
Recibí un mensaje muy lindo	TRUE
Todo salió mejor de lo esperado	TRUE
Hoy me siento pleno y satisfecho	TRUE
Me encanta este producto	TRUE
El soporte técnico fue excelente	TRUE
Fantástico, muy útil	TRUE
Muy feliz con los resultados	TRUE
Altamente recomendable	TRUE
Increíble servicio	TRUE
Todo funcionó perfectamente	TRUE
Muy buena relación calidad-precio	TRUE
Me ayudaron en todo momento	TRUE
Encantado con el trato recibido	TRUE
Rápido, fácil y conveniente	TRUE
Excelente atención al cliente	TRUE
Muy contento con mi compra	TRUE
Superó mis expectativas	TRUE
