Text	Label
Estoy muy cansado	Español
Me encanta la comida italiana	Español
Hoy fue un día muy largo	Español
Hace frío afuera	Español
Voy al supermercado	Español
No me siento bien hoy	Español
La película fue excelente	Español
El cielo está muy azul hoy	Español
¿Dónde está el baño?	Español
Estoy aprendiendo a programar	Español
Tengo mucha tarea	Español
Mi gato duerme todo el día	Español
Quiero tomar un café	Español
Me gusta la música clásica	Español
Mi nombre es Juan	Español
¿Cómo te llamas?	Español
Hola, ¿cómo estás?	Español
Estoy estudiando para un examen	Español
Voy a salir con mis amigos	Español
Me gusta leer libros de fantasía	Español
Tengo hambre	Español
¿Quieres venir conmigo?	Español
El perro está ladrando mucho	Español
No entiendo la lección	Español
Ayer llovió todo el día	Español
Mi color favorito es el azul	Español
La clase empieza a las ocho	Español
Estoy feliz por ti	Español
¿Tienes tiempo libre?	Español
Hoy es mi cumpleaños	Español
La computadora no funciona	Español
El tren llega tarde	Español
Hola	Español
hola	Español
chau	Español
Chau	Español
Estoy viendo una serie	Español
No tengo ganas de salir	Español
Mi hermana está enferma	Español
Quiero aprender inglés	Español
El auto no arranca	Español
¿Puedes ayudarme?	Español
Estoy escribiendo un mensaje	Español
Vamos al cine esta noche	Español
No me gusta el brócoli	Español
El café está muy caliente	Español
Mañana tengo una entrevista	Español
Compré una camisa nueva	Español
Mi papá trabaja en una oficina	Español
Hoy es lunes otra vez	Español
No me acuerdo de la contraseña	Español
Voy a cocinar pasta	Español
Me duele la cabeza	Español
¿A qué hora llegas?	Español
Estoy esperando el colectivo	Español
Mi perro se llama Max	Español
No encuentro mis llaves	Español
Vamos a la playa el sábado	Español
Estoy leyendo un libro nuevo	Español
Ya terminé mis tareas	Español
El celular se quedó sin batería	Español
¿Viste la noticia de hoy?	Español
El clima está horrible hoy	Español
Tengo que levantarme temprano	Español
¿Querés tomar algo?	Español
La tienda ya cerró	Español




Hello, how are you?	Inglés
My name is Sarah	Inglés
It’s a beautiful day	Inglés
I’m feeling tired today	Inglés
The food was amazing	Inglés
I had a long day	Inglés
Let’s go to the park	Inglés
Where is the bathroom?	Inglés
I love learning new things	Inglés
I’m studying for an exam	Inglés
Do you have free time?	Inglés
I like classical music	Inglés
What’s your name?	Inglés
The dog is barking a lot	Inglés
I don’t understand the lesson	Inglés
It rained all day yesterday	Inglés
My favorite color is blue	Inglés
The class starts at eight	Inglés
I’m happy for you	Inglés
Today is my birthday	Inglés
The computer isn’t working	Inglés
The train is running late	Inglés
I’m going out with friends	Inglés
I like reading fantasy books	Inglés
I’m hungry	Inglés
Would you like to come with me?	Inglés
I’m going to the supermarket	Inglés
The sky is very blue today	Inglés
I want to drink coffee	Inglés
My cat sleeps all day	Inglés
I have a lot of homework	Inglés
Hello	Inglés
hello	Inglés
Bye	Inglés
bye	Inglés
fuck you	Inglés
I’m watching a TV show	Inglés
I don’t feel like going out	Inglés
My sister is sick	Inglés
I want to learn Spanish	Inglés
The car won’t start	Inglés
Can you help me?	Inglés
I’m writing a message	Inglés
We’re going to the movies tonight	Inglés
I don’t like broccoli	Inglés
The coffee is too hot	Inglés
I have an interview tomorrow	Inglés
I bought a new shirt	Inglés
My dad works in an office	Inglés
It’s Monday again today	Inglés
I forgot the password	Inglés
I’m going to cook pasta	Inglés
I have a headache	Inglés
What time are you arriving?	Inglés
I’m waiting for the bus	Inglés
My dog’s name is Max	Inglés
I can’t find my keys	Inglés
We’re going to the beach on Saturday	Inglés
I’m reading a new book	Inglés
I’ve already finished my homework	Inglés
My phone ran out of battery	Inglés
Did you see the news today?	Inglés
The weather is terrible today	Inglés
I need to wake up early	Inglés
Would you like something to drink?	Inglés
The store is already closed	Inglés
Hi	Inglés
Hello	Inglés
bro	Inglés



