Text	Label
Hoy me levanté con una sonrisa	Felicidad
Recibí una buena noticia en el trabajo	Felicidad
Me encanta pasar tiempo con mis amigos	Felicidad
Esta tarde salí a caminar y me sentí libre	Felicidad
Mi familia está reunida y eso me hace Felicidad	Felicidad
Escuchar mi canción favorita me alegra el día	Felicidad
Hoy todo me está saliendo bien	Felicidad
Me siento agradecido por todo lo que tengo	Felicidad
Terminé un proyecto importante y estoy satisfecho	Felicidad
Me regalaron algo que quería hace mucho	Felicidad
Compartí una comida deliciosa con mi pareja	Felicidad
Disfruté cada minuto del viaje	Felicidad
Hoy es uno de esos días que todo parece perfecto	Felicidad
Logré algo que creía imposible	Felicidad
Mis hijos me abrazaron fuerte al llegar a casa	Felicidad
El sol está radiante y me llena de energía	Felicidad
Encontré dinero en un viejo abrigo y me reí solo	Felicidad
Recibí un mensaje que me hizo el día	Felicidad
Estoy rodeado de personas que me quieren	Felicidad
Hoy me siento pleno y en paz	Felicidad
Tuve una charla hermosa con alguien especial	Felicidad
Me felicitaron por mi trabajo y me hizo sentir bien	Felicidad
Ayudé a alguien y me llenó el corazón	Felicidad
Recordé un lindo momento de mi infancia	Felicidad
Vi una película que me hizo reír mucho	Felicidad
Hoy me siento más vivo que nunca	Felicidad
Canté en la ducha con toda la energía	Felicidad
Me dieron un reconocimiento inesperado	Felicidad
Hice reír a alguien y eso me alegró	Felicidad
Pude dormir bien y desperté renovado	Felicidad
Volví a ver a un amigo después de mucho tiempo	Felicidad
Bailé sin preocuparme por nada	Felicidad
Terminé de leer un libro que me encantó	Felicidad
Recibí un abrazo sincero y cálido	Felicidad
Me encontré con una sorpresa agradable	Felicidad
Todo está en calma y puedo disfrutar del momento	Felicidad
Hoy no tengo preocupaciones, solo alegría	Felicidad
Me siento motivado para empezar nuevos proyectos	Felicidad
Logré superar una meta personal	Felicidad
Salí a correr y me sentí increíble	Felicidad
Alguien me agradeció y eso me emocionó	Felicidad
Escuché buenas noticias de un ser querido	Felicidad
Pude ayudar a resolver un problema y me sentí útil	Felicidad
Sonreí al ver cómo crecen mis plantas	Felicidad
Pude ver el amanecer y fue hermoso	Felicidad
La música que escuché me llenó el alma	Felicidad
Hoy el café me supo mejor que nunca	Felicidad
Disfruté de una charla larga con un amigo	Felicidad
Me tomé un descanso merecido y lo disfruté	Felicidad
Todo lo que soñé está comenzando a cumplirse	Felicidad
Simplemente, hoy estoy feliz sin razón	Felicidad
Estoy muy feliz hoy	Felicidad
Me siento lleno de alegría	Felicidad
Todo va perfecto	Felicidad
Sonreí sin razón alguna	Felicidad
Estoy agradecido por todo	Felicidad
Hoy me siento pleno	Felicidad
Me encanta este momento	Felicidad
Tengo mucha energía	Felicidad
Estoy disfrutando mucho	Felicidad
Estoy rodeado de amor	Felicidad
Me siento motivado	Felicidad
Estoy en paz	Felicidad
Todo me hace sonreír	Felicidad
Hoy es un gran día	Felicidad
Estoy contento con mi vida	Felicidad
Tengo muchas ganas de vivir	Felicidad
Me siento increíble	Felicidad
Nada puede arruinar mi día	Felicidad
Hoy todo sale bien	Felicidad
Estoy sonriendo mucho	Felicidad
Me siento amado	Felicidad
Estoy entusiasmado	Felicidad
Amo cómo va mi día	Felicidad
Estoy muy positivo hoy	Felicidad
Siento una gran felicidad	Felicidad
Estoy viviendo algo hermoso	Felicidad
Todo es alegría hoy	Felicidad
Me siento genial	Felicidad
Estoy en mi mejor momento	Felicidad
Estoy lleno de entusiasmo	Felicidad
Nada me preocupa hoy	Felicidad
Estoy satisfecho con todo	Felicidad
Estoy lleno de luz	Felicidad
Hoy estoy muy animado	Felicidad
Estoy sonriendo sin parar	Felicidad
Estoy feliz con lo que tengo	Felicidad
Estoy celebrando la vida	Felicidad
Me siento renovado	Felicidad
Todo me sale bien hoy	Felicidad
Estoy vibrando alto	Felicidad
Siento amor en el aire	Felicidad
Estoy muy agradecido	Felicidad
Hoy todo es hermoso	Felicidad
Estoy disfrutando el presente	Felicidad
Estoy riendo mucho	Felicidad
Hoy me siento valioso	Felicidad
Estoy muy animado hoy	Felicidad
Mi corazón está contento	Felicidad
Hoy me siento fuerte y feliz	Felicidad
Estoy con una gran sonrisa	Felicidad
Estoy re contento, che	Felicidad  
Qué linda que está la vida, loco	Felicidad  
Me siento de diez hoy	Felicidad  
Todo me sale bien, boludo	Felicidad  
Hoy estoy a full de alegría	Felicidad  
Me puso feliz esa noticia, posta	Felicidad  
Estoy chocho con esto, che	Felicidad  
Me levanté con toda la buena onda	Felicidad  
No paro de sonreír, loco	Felicidad  
Qué lindo día que hace, boludo	Felicidad  
Estoy con el corazón contento	Felicidad  
Todo me llena de alegría hoy	Felicidad  
Estoy rebosante de felicidad, posta	Felicidad  
Me siento un campeón, che	Felicidad  
Qué alegría verte, loco	Felicidad  
Hoy estoy en mi mejor momento	Felicidad  
Me emociona todo esto, boludo	Felicidad  
Estoy pleno y feliz, posta	Felicidad  
Me siento afortunado hoy	Felicidad  
Todo me salió redondo, che	Felicidad  
Estoy lleno de buena vibra, loco	Felicidad  
Qué linda sensación, boludo	Felicidad  
Estoy chocho de la vida, posta	Felicidad  
Me llena el alma esto, che	Felicidad  
Estoy re contento con vos, loco	Felicidad  
No puedo dejar de sonreír, boludo	Felicidad  
Me siento en la gloria hoy	Felicidad  
Qué felicidad que tengo, posta	Felicidad  
Me alegra el día esto, che	Felicidad  
Estoy re motivado, loco	Felicidad  
Me siento con toda la energía, boludo	Felicidad  
Hoy todo es para sonreír, posta	Felicidad  
Estoy re feliz, che	Felicidad  
Me llena el pecho de alegría, loco	Felicidad  
Qué lindo momento, boludo	Felicidad  
Estoy chocho con este logro, posta	Felicidad  
Me siento en paz y contento, che	Felicidad  
Hoy todo me va bien, loco	Felicidad  
No puedo creer lo feliz que estoy, boludo	Felicidad  
Estoy re satisfecho, posta	Felicidad  
Me pone feliz compartir esto, che	Felicidad  
Estoy re contento con todo, loco	Felicidad  
Me llena de orgullo esto, boludo	Felicidad  
Estoy a pleno, posta	Felicidad  
Qué alegría que me da esto, che	Felicidad  
Me siento más vivo que nunca, loco	Felicidad  
Estoy re feliz con vos, boludo	Felicidad  
Me alegra el alma esto, posta	Felicidad  








Hoy me siento vacío por dentro	Tristeza
No tengo ganas de levantarme de la cama	Tristeza
Siento que nadie me entiende	Tristeza
Extraño mucho a alguien que ya no está	Tristeza
Nada me emociona últimamente	Tristeza
Lloro sin saber bien por qué	Tristeza
Todo me cuesta demasiado estos días	Tristeza
Me siento solo, aunque esté rodeado de gente	Tristeza
Perdí algo muy importante para mí	Tristeza
No dejo de pensar en lo que salió mal	Tristeza
Me pesa el corazón todo el tiempo	Tristeza
Quisiera volver atrás y cambiar las cosas	Tristeza
Hoy todo me parece gris y apagado	Tristeza
No tengo fuerzas para seguir	Tristeza
Siento que no soy suficiente	Tristeza
Cada día se siente igual de pesado	Tristeza
El silencio me hace sentir más solo	Tristeza
Me duele ver a los demás tan felices	Tristeza
No encuentro consuelo en nada	Tristeza
Me dijeron algo que me rompió el alma	Tristeza
Me siento una carga para los demás	Tristeza
Me duele el pecho del vacío que siento	Tristeza
Todo lo que me ilusionaba ya no importa	Tristeza
Me siento invisible	Tristeza
No tengo con quién hablar de verdad	Tristeza
Siento que no tengo un lugar en este mundo	Tristeza
Mi corazón está roto	Tristeza
Hoy todo me sale mal	Tristeza
No sé cómo seguir adelante	Tristeza
Tengo el alma cansada	Tristeza
Me desilusioné de alguien que quería mucho	Tristeza
Me cuesta sonreír últimamente	Tristeza
El dolor no se va aunque lo oculte	Tristeza
Estoy lleno de pensamientos tristes	Tristeza
Me siento atrapado en mi propia mente	Tristeza
Hay un vacío en mí que no puedo llenar	Tristeza
Perdí la esperanza	Tristeza
Echo de menos tiempos más felices	Tristeza
Ya no me reconozco en el espejo	Tristeza
No sé cómo pedir ayuda	Tristeza
Estoy agotado emocionalmente	Tristeza
Me decepcioné de mí mismo	Tristeza
Solo quiero desaparecer por un rato	Tristeza
No encuentro motivación para hacer nada	Tristeza
Me duele recordar lo que perdí	Tristeza
Lo intento, pero nada mejora	Tristeza
Ojalá las cosas fueran diferentes	Tristeza
Siento que el mundo sigue sin mí	Tristeza
Nada me consuela hoy	Tristeza
Solo quiero llorar hasta quedarme dormido	Tristeza
Me siento muy triste	Tristeza
Hoy no tengo ganas de nada	Tristeza
Siento un vacío adentro	Tristeza
Todo me cuesta hoy	Tristeza
Estoy desanimado	Tristeza
Nada me alegra	Tristeza
Me siento solo	Tristeza
Hoy no tengo fuerzas	Tristeza
Estoy desmotivado	Tristeza
No quiero hablar con nadie	Tristeza
Estoy llorando en silencio	Tristeza
Siento que todo está mal	Tristeza
Me cuesta levantarme	Tristeza
Estoy sin ganas	Tristeza
Me siento apagado	Tristeza
Todo me supera hoy	Tristeza
Estoy muy bajoneado	Tristeza
Hoy todo me duele	Tristeza
Tengo el ánimo por el suelo	Tristeza
Siento un gran dolor emocional	Tristeza
Me siento olvidado	Tristeza
Estoy atrapado en la tristeza	Tristeza
Siento que no valgo	Tristeza
No tengo ganas de seguir	Tristeza
Estoy con el corazón roto	Tristeza
Hoy no puedo sonreír	Tristeza
Estoy muy decaído	Tristeza
No encuentro consuelo	Tristeza
Estoy agotado emocionalmente	Tristeza
Hoy todo pesa demasiado	Tristeza
Estoy hundido en pensamientos tristes	Tristeza
Me siento perdido	Tristeza
Tengo ganas de llorar	Tristeza
Nada me interesa hoy	Tristeza
Me siento olvidado por todos	Tristeza
Estoy roto por dentro	Tristeza
Todo parece gris	Tristeza
Hoy no encuentro esperanza	Tristeza
Me siento frágil	Tristeza
Estoy lleno de melancolía	Tristeza
Me siento invisible	Tristeza
Hoy me duele el alma	Tristeza
No tengo consuelo	Tristeza
Siento un gran vacío	Tristeza
Estoy sin rumbo	Tristeza
Hoy me siento muy solo	Tristeza
Siento que todo es difícil	Tristeza
Estoy con el ánimo caído	Tristeza
Estoy pasando un mal día	Tristeza
Hoy no me siento bien	Tristeza
Estoy bajoneado, che	Tristeza  
No doy más, loco	Tristeza  
Me siento solo en esta	Tristeza  
Se me partió el corazón	Tristeza  
Estoy medio apagado hoy	Tristeza  
No me sale nada, boludo	Tristeza  
Me siento re vacío, posta	Tristeza  
La verdad, estoy hecho bolsa	Tristeza  
No encuentro salida, loco	Tristeza  
Estoy triste, ni ganas de nada	Tristeza  
Me pesa todo hoy	Tristeza  
Ando medio bajón, viste	Tristeza  
Me quedé sin ganas de nada	Tristeza  
Siento que no avanzo	Tristeza  
Estoy re bajoneado, che	Tristeza  
No puedo parar de pensar en eso	Tristeza  
Se me cayó todo abajo	Tristeza  
Me siento muy solo, posta	Tristeza  
No encuentro luz en el camino	Tristeza  
Estoy con el alma rota	Tristeza  
Me duele el pecho de tristeza	Tristeza  
Siento que me faltás	Tristeza  
No sé qué hacer con esto	Tristeza  
Me dejaron re mal, loco	Tristeza  
Estoy hecho pelota, che	Tristeza  
No me sale una bien	Tristeza  
Me siento perdido en todo	Tristeza  
Estoy medio en la lona	Tristeza  
No me dan ganas ni de salir	Tristeza  
Siento que me ahogo en la tristeza	Tristeza  
Me duele la ausencia	Tristeza  
Ando con el ánimo por el piso	Tristeza  
No puedo dejar de llorar	Tristeza  
Estoy hecho trizas, posta	Tristeza  
Me pesa la soledad	Tristeza  
No sé cómo seguir adelante	Tristeza  
Ando medio vacío, boludo	Tristeza  
Siento que todo se derrumba	Tristeza  
No encuentro fuerzas hoy	Tristeza  
Me siento re dolido, loco	Tristeza  
Estoy sin ganas de nada	Tristeza  
Me duele el alma, che	Tristeza  
No me sale la sonrisa hoy	Tristeza  
Ando medio apagado, boludo	Tristeza  
Me quedé sin esperanzas	Tristeza  
Siento que no valgo nada	Tristeza  
Estoy con el corazón partido	Tristeza  
No puedo con esta tristeza	Tristeza  
Me siento invisible, posta	Tristeza  








Estoy harto de que siempre sea lo mismo	Enojo
No soporto que me mientan en la cara	Enojo
